"word","source","corpusfreq","corpusrank","english"
"the","gdoc",7682913,1,1
"to","gdoc",3624631,2,1
"of","gdoc",3294837,3,1
"and","gdoc",2928508,4,1
"in","gdoc",2528525,5,1
"is","mm",2088476,6,1
"a","gdoc",2086823,7,1
"i","mm",1336373,8,1
"for","mm",1240380,9,1
"on","mm",1019723,10,1
"as","mm",657410,11,1
"an","mm",472614,12,1
"at","mm",388919,13,1
"from","mm",376876,14,1
"or","mm",371052,15,1
"do","mm",301703,16,1
"all","mm",285632,17,1
"can","mm",244679,18,1
"no","gdoc",212123,19,1
"time","mm",183949,20,1
"am","mm",174505,21,1
"so","gdoc",156817,22,1
"taoiseach","mm",107450,23,0
"last","mm",104525,24,1
"go","mm",100413,25,1
"garda","mm",54469,26,0
"both","mm",44855,27,1
"long","mm",44643,28,1
"dáil","mm",36671,29,0
"fine","mm",32820,30,1
"tánaiste","cm",32669,31,0
"fianna","gdoc",32416,32,0
"fáil","mm",32401,33,0
"na","mm",31795,34,1
"each","mm",31150,35,1
"agus","mm",27627,36,0
"ar","mm",27440,37,0
"sinn","mm",26363,38,0
"féin","mm",25926,39,0
"fair","mm",24713,40,1
"call","mm",23802,41,1
"gael","gdoc",23591,42,0
"oireachtas","mm",22897,43,0
"lot","mm",22303,44,1
"ag","mm",20702,45,0
"hard","gdoc",17711,46,1
"tá","gdoc",17274,47,0
"síochána","gdoc",16907,48,0
"comhairle","mm",16611,49,0
"gardaí","gdoc",16602,50,0
"post","mm",16343,51,1
"ó","mm",16036,52,0
"form","mm",15657,53,1
"bus","mm",13633,54,1
"stop","mm",13561,55,1
"seo","mm",13121,56,0
"le","mm",12788,57,1
"sin","mm",11738,58,1
"led","mm",11172,59,1
"gas","mm",11144,60,1
"seanad","mm",11060,61,0
"éireann","gdoc",10866,62,0
"leis","mm",10862,63,1
"ceann","mm",10666,64,0
"atá","gdoc",10338,65,0
"bhfuil","mm",9454,66,0
"sé","mm",9311,67,0
"bord","mm",9093,68,0
"car","mm",8938,69,1
"fear","mm",8910,70,1
"air","gdoc",7809,71,1
"mar","mm",7706,72,1
"sa","gdoc",7575,73,0
"de","mm",7362,74,1
"oil","mm",6597,75,1
"john","gdoc",6568,76,1
"ban","gdoc",6442,77,1
"é","mm",6188,78,0
"chun","mm",5689,79,0
"etc","gdoc",5278,80,1
"bhí","gdoc",4991,81,0
"gaeilge","mm",4967,82,0
"meath","mm",4959,83,0
"mé","mm",4846,84,0
"ach","mm",4608,85,0
"teachta","mm",4504,86,0
"ní","mm",4337,87,0
"don","mm",4328,88,1
"sea","mm",4218,89,1
"aer","mm",4135,90,0
"deis","mm",4052,91,0
"pleanála","gdoc",4029,92,0
"faoi","mm",3877,93,0
"raibh","gdoc",3841,94,0
"chur","gdoc",3838,95,0
"níl","mm",3716,96,0
"port","mm",3635,97,1
"nach","mm",3613,98,0
"dhéanamh","gdoc",3589,99,0
"rté","cm",3584,100,0
"fail","mm",3499,101,1
"brian","mm",3454,102,0
"gaeltachta","gdoc",3426,103,0
"daoine","gdoc",3370,104,0
"aire","mm",3314,105,0
"fill","mm",3300,106,1
"ba","gdoc",3298,107,1
"camhs","cm",3292,108,0
"son","mm",3176,109,1
"mo","mm",3083,110,1
"eile","mm",3035,111,0
"cheann","gdoc",3024,112,0
"rialtas","mm",3022,113,0
"club","mm",2916,114,1
"agam","gdoc",2905,115,0
"nó","mm",2878,116,0
"stáit","gdoc",2800,117,0
"maidir","mm",2761,118,0
"maith","mm",2754,119,0
"sna","gdoc",2738,120,0
"mbeidh","gdoc",2736,121,0
"teanga","mm",2728,122,0
"rud","mm",2727,123,0
"liom","gdoc",2685,124,0
"roll","mm",2683,125,1
"aon","mm",2659,126,0
"níos","mm",2658,127,0
"b","mm",2652,128,1
"fáilte","mm",2641,129,0
"gur","mm",2622,130,0
"bheith","gdoc",2559,131,0
"dún","mm",2555,132,0
"ghaeilge","gdoc",2548,133,0
"mbeadh","gdoc",2521,134,0
"siad","mm",2492,135,0
"seán","mm",2411,136,0
"bail","mm",2390,137,1
"o","gdoc",2368,138,1
"á","mm",2325,139,0
"dul","mm",2323,140,0
"fás","mm",2308,141,0
"againn","gdoc",2280,142,0
"amach","mm",2222,143,0
"ná","mm",2218,144,0
"ina","gdoc",2201,145,0
"c","mm",2171,146,1
"snas","mm",2163,147,0
"cuív","cm",2127,148,0
"den","gdoc",2092,149,1
"féidir","mm",2064,150,0
"mhaith","gdoc",2039,151,0
"nuair","mm",2022,152,0
"laois","mm",2021,153,0
"acu","gdoc",2018,154,0
"m","mm",1978,155,1
"v","mm",1964,156,1
"thabhairt","gdoc",1955,157,0
"gach","mm",1943,158,0
"portlaoise","cm",1937,159,0
"obair","mm",1924,160,0
"luas","mm",1880,161,0
"roinn","mm",1835,162,0
