"","X","word","source","corpusfreq","corpusrank","english","transl_en","textsame"
"1",0,"the","gdoc",7682913,1,1,"hot",0
"2",1,"to","gdoc",3624631,2,1,"to",1
"3",2,"of","gdoc",3294837,3,1,"of",1
"4",3,"and","gdoc",2928508,4,1,"and",1
"5",4,"in","gdoc",2528525,5,1,"in",1
"6",5,"is","mm",2088476,6,1,"is",1
"7",6,"a","gdoc",2086823,7,1,"to",0
"8",7,"i","mm",1336373,8,1,"in",0
"9",8,"for","mm",1240380,9,1,"for",1
"10",9,"on","mm",1019723,10,1,"from",0
"11",10,"as","mm",657410,11,1,"out",0
"12",11,"an","mm",472614,12,1,"the",0
"13",12,"at","mm",388919,13,1,"swelling",0
"14",13,"from","mm",376876,14,1,"from",1
"15",14,"or","mm",371052,15,1,"gold",0
"16",15,"do","mm",301703,16,1,"for",0
"17",16,"all","mm",285632,17,1,"all",1
"18",17,"can","mm",244679,18,1,"sing",0
"19",18,"no","gdoc",212123,19,1,"or",0
"20",19,"time","mm",183949,20,1,"time",1
"21",20,"am","mm",174505,21,1,"time",0
"22",21,"so","gdoc",156817,22,1,"this",0
"23",22,"taoiseach","mm",107450,23,0,"leader",0
"24",23,"last","mm",104525,24,1,"cargo",0
"25",24,"go","mm",100413,25,1,"that",0
"26",25,"garda","mm",54469,26,0,"guard",0
"27",26,"both","mm",44855,27,1,"booth",0
"28",27,"long","mm",44643,28,1,"ship",0
"29",28,"dáil","mm",36671,29,0,"date",0
"30",29,"fine","mm",32820,30,1,"tribe",0
"31",30,"tánaiste","cm",32669,31,0,"deputy",0
"32",31,"fianna","gdoc",32416,32,0,"deer",0
"33",32,"fáil","mm",32401,33,0,"available",0
"34",33,"na","mm",31795,34,1,"the",0
"35",34,"each","mm",31150,35,1,"horse",0
"36",35,"agus","mm",27627,36,0,"and",0
"37",36,"ar","mm",27440,37,0,"on",0
"38",37,"sinn","mm",26363,38,0,"us",0
"39",38,"féin","mm",25926,39,0,"myself",0
"40",39,"fair","mm",24713,40,1,"wait",0
"41",40,"call","mm",23802,41,1,"call",1
"42",41,"gael","gdoc",23591,42,0,"Gaelic",0
"43",42,"oireachtas","mm",22897,43,0,"office",0
"44",43,"lot","mm",22303,44,1,"lesion",0
"45",44,"ag","mm",20702,45,0,"at",0
"46",45,"hard","gdoc",17711,46,1,"high",0
"47",46,"tá","gdoc",17274,47,0,"yes",0
"48",47,"síochána","gdoc",16907,48,0,"peace",0
"49",48,"comhairle","mm",16611,49,0,"advice",0
"50",49,"gardaí","gdoc",16602,50,0,"guards",0
"51",50,"post","mm",16343,51,1,"post",1
"52",51,"ó","mm",16036,52,0,"from",0
"53",52,"form","mm",15657,53,1,"form",1
"54",53,"bus","mm",13633,54,1,"bus",1
"55",54,"stop","mm",13561,55,1,"stop",1
"56",55,"seo","mm",13121,56,0,"this",0
"57",56,"le","mm",12788,57,1,"with",0
"58",57,"sin","mm",11738,58,1,"that",0
"59",58,"led","mm",11172,59,1,"with you",0
"60",59,"gas","mm",11144,60,1,"stem",0
"61",60,"seanad","mm",11060,61,0,"senate",0
"62",61,"éireann","gdoc",10866,62,0,"Ireland",0
"63",62,"leis","mm",10862,63,1,"with him",0
"64",63,"ceann","mm",10666,64,0,"head",0
"65",64,"atá","gdoc",10338,65,0,"which",0
"66",65,"bhfuil","mm",9454,66,0,"yes",0
"67",66,"sé","mm",9311,67,0,"six",0
"68",67,"bord","mm",9093,68,0,"table",0
"69",68,"car","mm",8938,69,1,"car",1
"70",69,"fear","mm",8910,70,1,"man",0
"71",70,"air","gdoc",7809,71,1,"on it",0
"72",71,"mar","mm",7706,72,1,"as",0
"73",72,"sa","gdoc",7575,73,0,"in the",0
"74",73,"de","mm",7362,74,1,"of",0
"75",74,"oil","mm",6597,75,1,"oil",1
"76",75,"john","gdoc",6568,76,1,"John",0
"77",76,"ban","gdoc",6442,77,1,"woman",0
"78",77,"é","mm",6188,78,0,"it",0
"79",78,"chun","mm",5689,79,0,"to",0
"80",79,"etc","gdoc",5278,80,1,"etc",1
"81",80,"bhí","gdoc",4991,81,0,"was",0
"82",81,"gaeilge","mm",4967,82,0,"Irish",0
"83",82,"meath","mm",4959,83,0,"decline",0
"84",83,"mé","mm",4846,84,0,"me",0
"85",84,"ach","mm",4608,85,0,"but",0
"86",85,"teachta","mm",4504,86,0,"arrival",0
"87",86,"ní","mm",4337,87,0,"not",0
"88",87,"don","mm",4328,88,1,"don",1
"89",88,"sea","mm",4218,89,1,"yes",0
"90",89,"aer","mm",4135,90,0,"air",0
"91",90,"deis","mm",4052,91,0,"opportunity",0
"92",91,"pleanála","gdoc",4029,92,0,"planning",0
"93",92,"faoi","mm",3877,93,0,"about",0
"94",93,"raibh","gdoc",3841,94,0,"was",0
"95",94,"chur","gdoc",3838,95,0,"put",0
"96",95,"níl","mm",3716,96,0,"no",0
"97",96,"port","mm",3635,97,1,"port",1
"98",97,"nach","mm",3613,98,0,"not",0
"99",98,"dhéanamh","gdoc",3589,99,0,"to do",0
"100",99,"rté","cm",3584,100,0,"rte",0
"101",100,"fail","mm",3499,101,1,"find",0
"102",101,"brian","mm",3454,102,0,"brian",1
"103",102,"gaeltachta","gdoc",3426,103,0,"Gaeltacht",0
"104",103,"daoine","gdoc",3370,104,0,"people",0
"105",104,"aire","mm",3314,105,0,"attention",0
"106",105,"fill","mm",3300,106,1,"return",0
"107",106,"ba","gdoc",3298,107,1,"cow",0
"108",107,"camhs","cm",3292,108,0,"camel",0
"109",108,"son","mm",3176,109,1,"for",0
"110",109,"mo","mm",3083,110,1,"my",0
"111",110,"eile","mm",3035,111,0,"other",0
"112",111,"cheann","gdoc",3024,112,0,"head",0
"113",112,"rialtas","mm",3022,113,0,"government",0
"114",113,"club","mm",2916,114,1,"club",1
"115",114,"agam","gdoc",2905,115,0,"I have",0
"116",115,"nó","mm",2878,116,0,"or",0
"117",116,"stáit","gdoc",2800,117,0,"state",0
"118",117,"maidir","mm",2761,118,0,"regarding",0
"119",118,"maith","mm",2754,119,0,"good",0
"120",119,"sna","gdoc",2738,120,0,"in the",0
"121",120,"mbeidh","gdoc",2736,121,0,"will be",0
"122",121,"teanga","mm",2728,122,0,"language",0
"123",122,"rud","mm",2727,123,0,"thing",0
"124",123,"liom","gdoc",2685,124,0,"with me",0
"125",124,"roll","mm",2683,125,1,"roll",1
"126",125,"aon","mm",2659,126,0,"any",0
"127",126,"níos","mm",2658,127,0,"more",0
"128",127,"b","mm",2652,128,1,"b",1
"129",128,"fáilte","mm",2641,129,0,"welcome",0
"130",129,"gur","mm",2622,130,0,"that",0
